accession	assembly_name	strain	isolate	scientific_name
GCA_056405655	ASM5640565v1	P1_F7		Pseudomonas sp. P1_F7
GCA_056405675	ASM5640567v1	P1_F4		Polaromonas sp. P1_F4
GCA_056405695	ASM5640569v1	P1_F6		Polaromonas sp. P1_F6
GCA_056405715	ASM5640571v1	P1_F3		Rhodoferax sp. P1_F3
GCA_056405735	ASM5640573v1	P1_F2		Polaromonas sp. P1_F2
GCA_056405755	ASM5640575v1	P1_F10		Rhizobacter sp. P1_F10
GCA_056405775	ASM5640577v1	P1_F11		Pseudomonas sp. P1_F11
GCA_056405795	ASM5640579v1	P1_F1		Polaromonas sp. P1_F1
GCA_056405815	ASM5640581v1	P1_F1_2		Pseudomonas sp. P1_F1_2
GCA_056405835	ASM5640583v1	P1_E8		Polaromonas sp. P1_E8
GCA_056405855	ASM5640585v1	P1_E7		Pararhizobium sp. P1_E7
GCA_056405875	ASM5640587v1	P1_E6		Rhizobium sp. P1_E6
GCA_056405895	ASM5640589v1	P1_E5		Flavobacterium sp. P1_E5
GCA_056405915	ASM5640591v1	P1_E4		Flavobacterium sp. P1_E4
GCA_056405935	ASM5640593v1	P1_E3		Polaromonas sp. P1_E3
GCA_056405955	ASM5640595v1	P1_E2		Burkholderiaceae bacterium P1_E2
GCA_056405975	ASM5640597v1	P1_E12		Polaromonas sp. P1_E12
GCA_056405995	ASM5640599v1	P1_E11		Polaromonas sp. P1_E11
GCA_056406015	ASM5640601v1	P1_E1		Rhizobium sp. P1_E1
GCA_056406035	ASM5640603v1	P1_E1_2		Polaromonas sp. P1_E1_2
GCA_056406055	ASM5640605v1	P1_D7		Mucilaginibacter sp. P1_D7
GCA_056406075	ASM5640607v1	P1_D5		Rhizobium sp. P1_D5
GCA_056406095	ASM5640609v1	P1_D6		Caulobacter sp. P1_D6
GCA_056406115	ASM5640611v1	P1_D4		Arthrobacter sp. P1_D4
GCA_056406135	ASM5640613v1	P1_D3		Luteibacter sp. P1_D3
GCA_056406155	ASM5640615v1	P1_D2		Pseudomonas sp. P1_D2
GCA_056406175	ASM5640617v1	P1_D12		Arthrobacter sp. P1_D12
GCA_056406195	ASM5640619v1	P1_D11		Burkholderiaceae bacterium P1_D11
GCA_056406215	ASM5640621v1	P1_D10		Mucilaginibacter sp. P1_D10
GCA_056406235	ASM5640623v1	P1_D1		Pseudomonas sp. P1_D1
GCA_056406255	ASM5640625v1	P1_C8		Pseudomonas sp. P1_C8
GCA_056406275	ASM5640627v1	P1_C9		Chitinimonadaceae bacterium P1_C9
GCA_056406295	ASM5640629v1	P1_C7		Rhizobium sp. P1_C7
GCA_056406315	ASM5640631v1	P1_C6		Roseateles sp. P1_C6
GCA_056406335	ASM5640633v1	P1_C5		Rhodobacter sp. P1_C5
GCA_056406355	ASM5640635v1	P1_C4		Cellulomonas sp. P1_C4
GCA_056406375	ASM5640637v1	P1_C2		Rhodobacter sp. P1_C2
GCA_056406395	ASM5640639v1	P1_C3		Chitinimonadaceae bacterium P1_C3
GCA_056406415	ASM5640641v1	P1_C12_2		Arthrobacter sp. P1_C12_2
GCA_056406435	ASM5640643v1	P1_C12		Pseudomonas sp. P1_C12
GCA_056406455	ASM5640645v1	P1_C11		Mucilaginibacter sp. P1_C11
GCA_056406475	ASM5640647v1	P1_C10		Massilia sp. P1_C10
GCA_056406495	ASM5640649v1	P1_B9		Arthrobacter sp. P1_B9
GCA_056406515	ASM5640651v1	P1_B8		Rhizobium sp. P1_B8
GCA_056406535	ASM5640653v1	P1_C1_2		Roseateles sp. P1_C1_2
GCA_056406555	ASM5640655v1	P1_B4		Arthrobacter sp. P1_B4
GCA_056406575	ASM5640657v1	P1_B5		Chitinimonadaceae bacterium P1_B5
GCA_056406595	ASM5640659v1	P1_B6		Mucilaginibacter sp. P1_B6
GCA_056406615	ASM5640661v1	P1_B3		Arthrobacter sp. P1_B3
GCA_056406635	ASM5640663v1	P1_B2		Polaromonas sp. P1_B2
GCA_056406655	ASM5640665v1	P1_B2_2		Burkholderiaceae bacterium P1_B2_2
GCA_056406675	ASM5640667v1	P1_B12_2		Caulobacter sp. P1_B12_2
GCA_056406695	ASM5640669v1	P1_B12_1		Priestia sp. P1_B12_1
GCA_056406715	ASM5640671v1	P1_B11		Arthrobacter sp. P1_B11
GCA_056406735	ASM5640673v1	P1_B10		Allobosea sp. P1_B10
GCA_056406755	ASM5640675v1	P1_A9		Rhizobium sp. P1_A9
GCA_056406775	ASM5640677v1	P1_A7		Allobosea sp. P1_A7
GCA_056406795	ASM5640679v1	P1_A6		Neorhizobium sp. P1_A6
GCA_056406815	ASM5640681v1	P1_A4		Mucilaginibacter sp. P1_A4
GCA_056406825	ASM5640682v1	P1_A5		Arthrobacter sp. P1_A5
GCA_056406855	ASM5640685v1	P1_A3		Mucilaginibacter sp. P1_A3
GCA_056406875	ASM5640687v1	P1_A12		Mesorhizobium sp. P1_A12
GCA_056406895	ASM5640689v1	P1_A2		Polaromonas sp. P1_A2
GCA_056406915	ASM5640691v1	P1_A11		Variovorax sp. P1_A11
GCA_056406935	ASM5640693v1	P1_A1		Pseudomonas sp. P1_A1
GCA_056406955	ASM5640695v1	P1_A10		Rhizobium sp. P1_A10
GCA_056555145	ASM5655514v1	P4_G11		Mycolicibacterium sp. P4_G11
GCA_056555165	ASM5655516v1	P4_E2		Massilia sp. P4_E2
