accession	assembly_name	strain	isolate	scientific_name
GCA_964253735	LjRoot228v2			Mesorhizobium caraganae
GCA_964253735	LjRoot228			plant metagenome
GCA_964253755	LjRoot130v2			Variovorax sp. LjRoot130
GCA_964253755	LjRoot130			plant metagenome
GCA_964253765	LjRoot129v2			Acidovorax sp. LjRoot129
GCA_964253765	LjRoot129			plant metagenome
GCA_964253775	LjRoot10v2			Ensifer adhaerens
GCA_964253775	LjRoot10			Ensifer adhaerens
GCA_964253785	LjRoot13v2			Pseudarthrobacter oxydans
GCA_964253785	LjRoot13			plant metagenome
GCA_964253795	LjRoot168v2			Pseudoxanthomonas sp. LjRoot168
GCA_964253795	LjRoot168			plant metagenome
GCA_964253805	LjRoot175v2			Variovorax sp. LjRoot175
GCA_964253805	LjRoot175			plant metagenome
GCA_964253815	LjRoot34v2			Caballeronia sp. LjRoot34
GCA_964253815	LjRoot34			plant metagenome
GCA_964253825	LjRoot253			plant metagenome
GCA_964253835	LjRoot249			plant metagenome
GCA_964253845	LjRoot277v2			Pseudomonas sp. LjRoot277
GCA_964253845	LjRoot277			plant metagenome
GCA_964253855	LjRoot240			plant metagenome
GCA_964253865	LjRoot302v2			Variovorax paradoxus
GCA_964253865	LjRoot302			plant metagenome
GCA_964253875	LjRoot300v2			Caulobacter sp. LjRoot300
GCA_964253875	LjRoot300			plant metagenome
GCA_964253885	LjRoot31v2			Caballeronia sp. LjRoot31
GCA_964253885	LjRoot31			plant metagenome
GCA_964253895	LjRoot229			plant metagenome
GCA_964253905	LjRoot14v2			Arthrobacter sp. LjRoot14
GCA_964253905	LjRoot14			plant metagenome
GCA_964253915	LjRoot30v2			Rhizobium sp. LjRoot30
GCA_964253915	LjRoot30			plant metagenome
GCA_964253925	LjRoot186v2			Microbacterium foliorum
GCA_964253925	LjRoot186			plant metagenome
GCA_964253935	LjRoot42v2			Microbacterium maritypicum
GCA_964253935	LjRoot42			plant metagenome
GCA_964253945	LjRoot233			plant metagenome
GCA_964253955	LjRoot259			plant metagenome
GCA_964253965	LjRoot162v2			Pseudomonas umsongensis
GCA_964253965	LjRoot162			plant metagenome
GCA_964253975	LjRoot159v2			Pseudomonas brassicacearum
GCA_964253975	LjRoot159			plant metagenome
GCA_964253985	LjRoot290v2			Variovorax sp. LjRoot290
GCA_964253985	LjRoot290			plant metagenome
GCA_964253995	LjRoot87			plant metagenome
GCA_964254005	LjRoot261			plant metagenome
GCA_964254025	LjRoot6			plant metagenome
GCA_964254035	LjRoot279			plant metagenome
GCA_964254045	LjRoot57			plant metagenome
GCA_964254055	LjRoot288			plant metagenome
GCA_964254065	LjRoot281			plant metagenome
GCA_964254075	LjRoot224v2			Rhizobium leguminosarum
GCA_964254075	LjRoot224			plant metagenome
GCA_964254085	LjRoot282			plant metagenome
GCA_964254095	LjRoot269v2			Duganella sp. LjRoot269
GCA_964254095	LjRoot269			plant metagenome
GCA_964254105	LjRoot254v2			Rhizobium sp. LjRoot254
GCA_964254105	LjRoot254			plant metagenome
GCA_964254115	LjRoot246v2			Mesorhizobium sp. LjRoot246
GCA_964254115	LjRoot246			plant metagenome
GCA_964254125	LjRoot189v2			Acidovorax delafieldii
GCA_964254125	LjRoot189			plant metagenome
GCA_964254135	LjRoot239v2			Neorhizobium tomejilense
GCA_964254135	LjRoot239			plant metagenome
GCA_964254145	LjRoot235v2			Pararhizobium sp. LjRoot235
GCA_964254145	LjRoot235			plant metagenome
GCA_964254155	LjRoot260v2			Variovorax paradoxus
GCA_964254155	LjRoot260			plant metagenome
GCA_964254165	LjRoot232v2			Aquipseudomonas alcaligenes
GCA_964254165	LjRoot232			plant metagenome
GCA_964254175	LjRoot27v2			Terrabacter sp. LjRoot27
GCA_964254175	LjRoot27			plant metagenome
GCA_964254185	LjRoot258v2			Rhizobium sp. LjRoot258
GCA_964254185	LjRoot258			plant metagenome
GCA_964254195	LjRoot18			plant metagenome
GCA_964254305	LjRoot84v2			Variovorax sp. LjRoot84
GCA_964254305	LjRoot84			plant metagenome
GCA_964254315	LjRoot90v2			Allobosea sp. LjRoot90
GCA_964254315	LjRoot90			plant metagenome
GCA_964254325	LjRoot99v2			Variovorax paradoxus
GCA_964254325	LjRoot99			Variovorax paradoxus
GCA_964254335	LjRoot78v2			Arthrobacter sp. LjRoot78
GCA_964254335	LjRoot78			plant metagenome
GCA_964254345	LjRoot97v2			Phenylobacterium sp. LjRoot97
GCA_964254345	LjRoot97			plant metagenome
GCA_964254355	LjRoot74v2			Acidovorax sp. LjRoot74
GCA_964254355	LjRoot74			plant metagenome
GCA_964254365	LjRoot80v2			Mycolicibacterium frederiksbergense
GCA_964254365	LjRoot80			Mycolicibacterium frederiksbergense
