file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710203_1.fastq.gz	FASTQ	DNA	3477674	442460833	3	127.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710203_2.fastq.gz	FASTQ	DNA	3477674	442833103	1	127.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710204_1.fastq.gz	FASTQ	DNA	1727791	206508965	3	119.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710204_2.fastq.gz	FASTQ	DNA	1727791	206797823	3	119.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710206_1.fastq.gz	FASTQ	DNA	1641174	226795605	4	138.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710206_2.fastq.gz	FASTQ	DNA	1641174	226791070	2	138.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710207_1.fastq.gz	FASTQ	DNA	3120887	408256272	3	130.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710207_2.fastq.gz	FASTQ	DNA	3120887	408465952	1	130.9	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710212_1.fastq.gz	FASTQ	DNA	2320364	246843873	2	106.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710212_2.fastq.gz	FASTQ	DNA	2320364	247162921	1	106.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710213_1.fastq.gz	FASTQ	DNA	2341510	271393923	1	115.9	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710213_2.fastq.gz	FASTQ	DNA	2341510	271699917	1	116.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710214_1.fastq.gz	FASTQ	DNA	2182477	253527253	2	116.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710214_2.fastq.gz	FASTQ	DNA	2182477	253813530	1	116.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710215_1.fastq.gz	FASTQ	DNA	102337	11639172	5	113.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710215_2.fastq.gz	FASTQ	DNA	102337	11646129	2	113.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710222_1.fastq.gz	FASTQ	DNA	10337456	1138839960	1	110.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710222_2.fastq.gz	FASTQ	DNA	10337456	1141117384	1	110.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710223_1.fastq.gz	FASTQ	DNA	8937995	991360463	1	110.9	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710223_2.fastq.gz	FASTQ	DNA	8937995	993270235	1	111.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710265_1.fastq.gz	FASTQ	DNA	719718	126956540	8	176.4	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710265_2.fastq.gz	FASTQ	DNA	719718	127507548	9	177.2	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710266_1.fastq.gz	FASTQ	DNA	2086496	393642087	1	188.7	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710266_2.fastq.gz	FASTQ	DNA	2086496	394116200	5	188.9	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710267_1.fastq.gz	FASTQ	DNA	141319	25593761	23	181.1	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710267_2.fastq.gz	FASTQ	DNA	141319	25753832	23	182.2	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710268_1.fastq.gz	FASTQ	DNA	686881	120825404	7	175.9	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710268_2.fastq.gz	FASTQ	DNA	686881	120480503	6	175.4	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710300_1.fastq.gz	FASTQ	DNA	174589	22105711	3	126.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710300_2.fastq.gz	FASTQ	DNA	174589	22115778	9	126.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710301_1.fastq.gz	FASTQ	DNA	1255881	145039876	3	115.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710301_2.fastq.gz	FASTQ	DNA	1255881	145188844	1	115.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710302_1.fastq.gz	FASTQ	DNA	5121848	589343359	1	115.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710302_2.fastq.gz	FASTQ	DNA	5121848	590056211	1	115.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710312_1.fastq.gz	FASTQ	DNA	1963931	234362961	1	119.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710312_2.fastq.gz	FASTQ	DNA	1963931	233911453	2	119.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710313_1.fastq.gz	FASTQ	DNA	1557520	189497563	2	121.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710313_2.fastq.gz	FASTQ	DNA	1557520	189668872	1	121.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710315_1.fastq.gz	FASTQ	DNA	2687442	340321930	2	126.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710315_2.fastq.gz	FASTQ	DNA	2687442	340420943	2	126.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710316_1.fastq.gz	FASTQ	DNA	1844064	233073083	1	126.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710316_2.fastq.gz	FASTQ	DNA	1844064	233396724	1	126.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710317_1.fastq.gz	FASTQ	DNA	8206411	897060716	2	109.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/raw_reads/SRR29710317_2.fastq.gz	FASTQ	DNA	8206411	898613638	1	109.5	151
