file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710346_1.fastq.gz	FASTQ	DNA	1699525	219767841	18	129.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710347_1.fastq.gz	FASTQ	DNA	2224474	289898305	18	130.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710348_1.fastq.gz	FASTQ	DNA	2390783	318309514	19	133.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710349_1.fastq.gz	FASTQ	DNA	3505709	456308423	18	130.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710350_1.fastq.gz	FASTQ	DNA	378221	44759975	18	118.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710352_1.fastq.gz	FASTQ	DNA	657215	79252030	18	120.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29709993_2.fastq.gz	FASTQ	DNA	3403303	424539413	1	124.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29709994_2.fastq.gz	FASTQ	DNA	1956805	251506857	16	128.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29709995_2.fastq.gz	FASTQ	DNA	1790756	217593449	16	121.5	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29709996_2.fastq.gz	FASTQ	DNA	3980188	511959323	1	128.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710001_2.fastq.gz	FASTQ	DNA	3338213	394885010	16	118.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710002_2.fastq.gz	FASTQ	DNA	3932756	512491884	17	130.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710004_2.fastq.gz	FASTQ	DNA	4295578	552611320	17	128.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710005_2.fastq.gz	FASTQ	DNA	2789401	352053898	16	126.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710010_2.fastq.gz	FASTQ	DNA	695348	85547444	17	123.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710014_2.fastq.gz	FASTQ	DNA	3515736	456559395	18	129.9	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710015_2.fastq.gz	FASTQ	DNA	132838	17492438	19	131.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710017_2.fastq.gz	FASTQ	DNA	374336	48601281	19	129.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710018_2.fastq.gz	FASTQ	DNA	1374939	183446876	19	133.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710019_2.fastq.gz	FASTQ	DNA	2567125	326822462	1	127.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710020_2.fastq.gz	FASTQ	DNA	1434995	183625225	18	128.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710021_2.fastq.gz	FASTQ	DNA	1893823	245389553	19	129.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710022_2.fastq.gz	FASTQ	DNA	1384614	174387156	19	125.9	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710023_2.fastq.gz	FASTQ	DNA	1940159	264318394	1	136.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710024_2.fastq.gz	FASTQ	DNA	341805	51060220	22	149.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710025_2.fastq.gz	FASTQ	DNA	3052474	395773907	19	129.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710026_2.fastq.gz	FASTQ	DNA	1951203	256127309	1	131.3	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710194_2.fastq.gz	FASTQ	DNA	432782	47185237	17	109.0	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710196_2.fastq.gz	FASTQ	DNA	269966	32710169	1	121.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710197_2.fastq.gz	FASTQ	DNA	336659	37763872	18	112.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710198_2.fastq.gz	FASTQ	DNA	156105	15883137	1	101.7	151
